Episodes,Reward 1,Reward 2,Reward 3,Reward 4,Reward 5,Reward 6,Reward 7,Reward 8,Reward 9,Reward 10,Reward 11,Reward 12,Reward 13,Reward 14,Reward 15,mean,top,bottom
181,32,69,26,23,30,52,52,38,51,26,89,76,44,66,55,50,69.1146127623,30.8853872377
182,40,38,22,69,30,32,21,64,31,66,74,58,89,42,36,45.1,64.975666159,25.224333841
183,50,28,40,40,30,29,122,36,47,22,41,37,33,67,41,43.2,65.0092206478,21.3907793522
184,24,31,58,22,30,63,38,30,30,22,41,25,60,28,65,41.8,59.8950705704,23.7049294296
185,51,31,30,59,28,49,23,38,36,25,28,70,34,37,43,41.9,56.7816382799,27.0183617201
186,38,39,30,35,45,42,27,42,31,62,33,44,40,42,26,45.55,67.8929607424,23.2070392576
187,44,74,41,43,66,51,44,41,75,57,35,40,51,76,59,55.95,72.2803882057,39.6196117943
188,31,30,43,30,31,23,42,38,36,27,64,35,25,113,88,43.25,65.8422087175,20.6577912825
189,69,43,97,58,46,29,41,40,63,73,54,66,34,74,79,57,78.5431024497,35.4568975503
190,26,28,41,67,45,53,76,52,24,32,25,48,31,55,30,46.95,69.4806224363,24.4193775637
191,48,49,59,34,49,23,41,50,29,37,34,29,75,57,41,45.45,58.9386892188,31.9613107812
192,24,39,55,34,85,36,38,29,36,35,89,34,58,29,101,46.4,68.6601839497,24.1398160503
193,44,70,68,62,69,50,47,41,31,55,28,29,90,68,38,54.75,78.8372864479,30.6627135521
194,52,67,30,55,42,54,43,41,39,34,49,64,32,38,34,48.9,68.4902768579,29.3097231421
195,75,79,30,77,38,42,35,43,33,51,29,70,53,37,24,45.4,62.5691277405,28.2308722595
196,35,54,79,68,20,34,32,37,39,131,45,65,64,73,28,57.65,83.850190839,31.449809161
197,84,36,41,29,37,38,53,40,31,90,76,69,32,47,66,52.1,70.3494412315,33.8505587685
198,79,46,54,59,70,31,22,32,49,48,34,118,41,21,66,51.6,74.9472640119,28.2527359881
199,45,30,29,73,63,57,42,46,47,67,86,27,30,45,58,50.1,69.5554822473,30.6445177527
200,57,59,28,35,40,76,52,43,48,52,74,35,60,37,43,56.35,79.4909297907,33.2090702093
201,73,53,38,28,29,29,53,48,69,46,63,26,47,80,58,48.45,64.5401244639,32.3598755361
202,72,51,37,67,141,36,67,83,62,88,54,58,64,89,41,63.35,88.667510063,38.032489937
203,31,44,25,39,77,52,25,33,39,87,33,35,33,30,36,43.5,60.864513117,26.135486883
204,45,63,36,64,40,69,54,77,65,67,108,31,42,59,59,53.65,73.2493420942,34.0506579058
205,30,50,49,66,31,46,63,32,63,34,45,22,51,86,55,46.65,61.8375121832,31.4624878168
206,27,56,74,54,38,45,48,46,40,43,55,43,74,40,57,48.4,61.3712232106,35.4287767894
207,45,27,66,63,74,61,83,31,59,55,43,69,27,59,47,51.15,67.4732962357,34.8267037643
208,38,69,56,39,77,45,37,51,50,35,53,22,52,24,35,45.05,60.3864889964,29.7135110036
209,82,33,37,48,40,142,32,78,67,44,36,75,26,39,67,55.2,82.4408362187,27.9591637813
210,31,56,44,82,71,44,59,32,61,53,23,32,71,69,33,55.05,79.2671644218,30.8328355782
211,42,38,64,35,36,59,35,35,34,68,59,33,32,27,28,40.65,52.928672138,28.371327862
212,34,24,129,96,69,134,61,24,36,35,59,56,39,74,36,57.3,88.7945275113,25.8054724887
213,43,80,47,73,50,79,29,30,22,33,38,58,54,36,30,44.25,61.092537001,27.407462999
